"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]","8.0
7.0",8,Out of Specification Limits Wire Loop Height,"Looping parameters not optimized
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,380,Z8R00005116_380
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Wire Loop Height,"Looping parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection-parameter range locking

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,381,Z8R00005116_381
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Out of Specification Limits Wire Loop Height,"Wrong bonding program/recipe
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,382,Z8R00005116_382
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]","8.0
8.0",8,Out of Specification Limits Wire Pull Strength,"Bond force calibration out of specification
[Machine_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,383,Z8R00005116_383
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Wire Pull Strength,"Lead frame contamination
[Material_Z8R00005116]","(P) Material handling procedure (Z8R00006033)

(P) Use of hand gloves upon entry in production",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,384,Z8R00005116_384
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Wire Pull Strength,"Bonding temperature out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) Machine stop

(D) SPC Monitoring (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,385,Z8R00005116_385
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Wire Pull Strength,"Lead frame oxidation
[Method_Z8R00005116]","(P) Implementation of C6 Cu Kit

(P) Implement heat tunnel",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,386,Z8R00005116_386
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Wire Pull Strength,"Bonding parameters not optimized
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing

(D) SPC Monitoring (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,387,Z8R00005116_387
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"IFX: Yield loss
[Z8R00005116]
Customer: Reliability failure
[Z8R00005116]",,,Out of Specification Limits Wire Pull Strength,"Bonding parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) 100% Electrical testing

(D) SPC Monitoring (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,388,Z8R00005116_388
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]","8.0
7.0",8,Oxidized Free Air Ball (FAB),"Copper kit/forming gas nozzle out of alignment
[Machine_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)

(P) FAB farming check ((Z8R00005143, Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,389,Z8R00005116_389
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Oxidized Free Air Ball (FAB),"Copper kit nozzle design not optimized
[Method_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)

(P) Implementation of C6 Cu Kit",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,390,Z8R00005116_390
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]","8.0
7.0",8,Oxidized Lead Frame,"Defective heater element
[Machine_Z8R00005116]","(P) Preventive maintenance (Z8R00005138)

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,391,Z8R00005116_391
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Oxidized Lead Frame,"No N2 cooling for copper pad device on the buffer, preheat and window clamp cooling and heat tunnel
[Machine_Z8R00005116]","(P) Maximize N2 cooling at 15LPM for buffer, preheat and window clamp cooling and Heat tunnel

(P) Perform machine health check

(P) Perform O2 analyzer oxidation level check.",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,392,Z8R00005116_392
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Oxidized Lead Frame,"Bonding temperature out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) Machine stop",2,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,393,Z8R00005116_393
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional/Reliability Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Oxidized Lead Frame,"Prolonged heating of bonded units/long staging time on heater block
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) Use frame oxidation window clamp top plate auto open detection when have any machine stoppages with timeset

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,394,Z8R00005116_394
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]","8.0
7.0",8,Roughed Wedge,"Capillary/Wedge life span exceeded
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection-capillary touch down limit

(P) Machine health check during setup/change device (Z8R00005144)

(P) Set life span capillary limit on the machine",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,395,Z8R00005116_395
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Reliability failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Roughed Wedge,"Bonding parameters not optimized
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,396,Z8R00005116_396
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]","8.0
7.0",8,Sagged wire,"Wrong bonding sequence
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)

(P) Change bonding sequence, bond larger diameter first follow by smaller wire diameter",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,397,Z8R00005116_397
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Sagged wire,"Looping parameters out of specification limits
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection-parameter range locking

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,398,Z8R00005116_398
"Function for Effects
[Z8R00005116]",,"2nd Pass Bonding (Z8R00005118 ,Z8R00000602 Z8R00005143 )",,,,"Wire interconnection between bond pads and leads
[Method_Z8R00005116]
Wire interconnection between bond pads and leads
[Material_Z8R00005116]
Wire interconnection between bond pads and leads
[Machine_Z8R00005116]",,"Customer: Electrical/Functional Failure
[Z8R00005116]
IFX: Yield loss
[Z8R00005116]",,,Sagged wire,"Looping parameters not optimized
[Method_Z8R00005116]","(P) RMS-Recipe Manage System (Z8R00003906)

(P) System Access Protection

(P) Machine health check during setup/change device (Z8R00005144)",2,"(D) 100% Inpsection at FAV process and affected unit will be segregate out at EAV

(D) SPC Monitoring during PC buyoff (Z8R00005143)",4,L,,,,,,,,,,,,,,Process FMEA For DSO150mils Copper Wire,Z8R00005116,Process,DSO 150 mils,Manufacturing-Batam,,399,Z8R00005116_399
